"Source:","D:\Projects\Skripsi\Converter-Regulator Hardware\3_phase_firing.kicad_sch"
"Date:","25/01/2023 14:25:10"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","61"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x7.7","~"
"","","C2","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x7.7","~"
"","","D1","DB106S","Device:D_Bridge_-A+A","Diode_SMD:Diode_Bridge_OnSemi_SDIP-4L","~"
"","","D2","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D3","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D4","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D5","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D6","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D7","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D8","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D9","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D10","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D11","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","J1","IN1","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"","","J2","IN2","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"","","J3","OUT","Connector:Screw_Terminal_01x12","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-12-5.08_1x12_P5.08mm_Horizontal","~"
"","","Q1","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q2","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q3","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q4","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q5","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q6","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","R1","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R2","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R3","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R4","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R5","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R6","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R7","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R8","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R9","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R10","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R11","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R12","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R13","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R14","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R15","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R16","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R17","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R18","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R19","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R20","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R21","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R22","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R23","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R24","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R25","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R26","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R27","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","U1","LM339","Comparator:LM339","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.st.com/resource/en/datasheet/lm139.pdf"
"","","U2","L7812","Regulator_Linear:L7812","Package_TO_SOT_SMD:TO-263-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"","","U3","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"","","U4","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"","","U5","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"","","U6","YAAJ_WeAct_BlackPill_Part_Like","YAAJ_WeAct_BlackPill_Part_Like:YAAJ_WeAct_BlackPill_Part_Like","Footprints:YAAJ_WeAct_BlackPill_2",""
"","","U7","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"","","U8","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"","","U9","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"","","U10","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"","","U11","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"","","U12","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C2","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x7.7","~"
"2","1","D1","DB106S","Device:D_Bridge_-A+A","Diode_SMD:Diode_Bridge_OnSemi_SDIP-4L","~"
"3","10","D2, D3, D4, D5, D6, D7, D8, D9, D10, D11","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"4","1","J1","IN1","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"5","1","J2","IN2","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"6","1","J3","OUT","Connector:Screw_Terminal_01x12","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-12-5.08_1x12_P5.08mm_Horizontal","~"
"7","6","Q1, Q2, Q3, Q4, Q5, Q6","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"8","15","R1, R2, R3, R4, R5, R6, R8, R10, R12, R13, R14, R15, R19, R20, R21","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"9","3","R7, R9, R11","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"10","9","R16, R17, R18, R22, R23, R24, R25, R26, R27","2K2","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"11","1","U1","LM339","Comparator:LM339","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.st.com/resource/en/datasheet/lm139.pdf"
"12","1","U2","L7812","Regulator_Linear:L7812","Package_TO_SOT_SMD:TO-263-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"13","9","U3, U4, U5, U7, U8, U9, U10, U11, U12","4N35","Isolator:4N35","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","https://www.vishay.com/docs/81181/4n35.pdf"
"14","1","U6","YAAJ_WeAct_BlackPill_Part_Like","YAAJ_WeAct_BlackPill_Part_Like:YAAJ_WeAct_BlackPill_Part_Like","Footprints:YAAJ_WeAct_BlackPill_2",""
